,Country,Track Name,Artist Name,Album Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,TSignature,Positiveness
1139,USA,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,86,1994-10-28,AR,0.336,0.164,241107,0.627,0.0,7,0.0708,-7.463,1,0.0384,150.273,4,0.35
1145,USA,Blank Space (Taylor's Version),Taylor Swift,1989 (Taylor's Version),89,2023-10-26,AR,0.737,0.0976,231833,0.725,0.0,0,0.174,-5.417,1,0.0641,96.012,4,0.755
1123,USA,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes),80,2023-11-03,AR,0.521,0.838,205484,0.366,4.11e-06,11,0.12,-7.698,0,0.034,141.965,4,0.225
1110,USA,Cruel Summer,Taylor Swift,Lover,99,2019-08-23,AR,0.552,0.117,178427,0.702,2.06e-05,9,0.105,-5.707,1,0.157,169.994,4,0.564
1149,USA,Dark Red,Steve Lacy,Dark Red,90,2017-02-20,AR,0.603,0.446,173104,0.784,8.32e-06,6,0.119,-4.023,1,0.062,172.041,4,0.769
1141,USA,Ella Baila Sola,Eslabon Armado,DESVELADO,86,2023-04-28,AR,0.668,0.483,165671,0.758,1.89e-05,5,0.0837,-5.176,0,0.0332,147.989,3,0.834
1117,USA,First Person Shooter (feat. J. Cole),Drake,For All The Dogs,92,2023-10-06,AR,0.47,0.0277,247444,0.64,0.0,2,0.382,-7.779,1,0.32,163.92,4,0.248
1122,USA,HARLEY QUINN,Fuerza Regida,Pa las Baby's Y Belikeada,90,2023-10-20,AR,0.815,0.0277,143327,0.741,0.0183,1,0.219,-6.04,1,0.0569,125.031,4,0.591
1119,USA,I KNOW ?,Travis Scott,UTOPIA,92,2023-07-28,AR,0.927,0.0186,211582,0.619,0.0,5,0.104,-4.441,0,0.0539,117.995,4,0.817
1103,USA,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,93,2023-08-25,AR,0.429,0.554,227196,0.453,2e-06,0,0.102,-7.746,1,0.0459,77.639,4,0.155
1104,USA,IDGAF (feat. Yeat),Drake,For All The Dogs,94,2023-10-06,AR,0.663,0.0464,260111,0.67,8.92e-05,8,0.205,-8.399,1,0.271,136.952,4,0.138
1100,USA,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),93,2023-10-26,AR,0.596,0.0504,229478,0.658,0.0,0,0.127,-7.346,1,0.036,100.012,4,0.176
1127,USA,Kill Bill,SZA,SOS,92,2022-12-08,AR,0.644,0.0521,153947,0.735,0.144,8,0.161,-5.747,1,0.0391,88.98,4,0.418
1138,USA,LADY GAGA,Peso Pluma,GÉNESIS,95,2023-06-29,AR,0.646,0.216,212878,0.736,0.0,5,0.415,-7.118,0,0.0449,140.098,3,0.873
1118,USA,Last Night,Morgan Wallen,One Thing At A Time,86,2023-03-03,AR,0.492,0.467,163855,0.675,0.0,6,0.142,-5.456,1,0.0389,203.759,4,0.478
1144,USA,Lovers Rock,TV Girl,French Exit,90,2014-06-05,AR,0.559,7.53e-06,213920,0.871,0.00545,5,0.096,-5.338,0,0.0397,104.97,4,0.572
1111,USA,MONACO,Bad Bunny,nadie sabe lo que va a pasar mañana,98,2023-10-13,AR,0.787,0.15,267194,0.621,0.000402,4,0.58,-5.009,0,0.068,139.056,4,0.13
1102,USA,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,97,2023-09-15,AR,0.504,0.868,137773,0.308,0.135,9,0.158,-14.958,1,0.0321,113.95,4,0.121
1130,USA,No Role Modelz,J. Cole,2014 Forest Hills Drive,91,2014-12-09,AR,0.69,0.324,292799,0.521,0.0,10,0.0534,-8.492,0,0.339,100.028,4,0.494
1101,USA,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),91,2023-10-26,AR,0.793,0.186,146437,0.512,3.81e-05,0,0.0889,-9.319,1,0.0338,109.994,4,0.0662
1147,USA,Out Of The Woods (Taylor's Version),Taylor Swift,1989 (Taylor's Version),88,2023-10-26,AR,0.547,0.000512,235800,0.885,9.37e-05,0,0.39,-5.961,1,0.0418,91.992,4,0.192
1126,USA,PERRO NEGRO,Bad Bunny,nadie sabe lo que va a pasar mañana,97,2023-10-13,AR,0.911,0.0887,162768,0.778,2.16e-05,5,0.179,-2.248,1,0.262,96.057,4,0.345
1105,USA,Paint The Town Red,Doja Cat,Scarlet,89,2023-09-20,AR,0.864,0.255,230480,0.556,3.85e-06,2,0.112,-7.683,0,0.194,99.974,4,0.726
1135,USA,Pink + White,Frank Ocean,Blonde,91,2016-08-20,AR,0.545,0.667,184516,0.545,5.48e-05,9,0.417,-7.362,1,0.107,159.94,3,0.549
1143,USA,QLONA,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),94,2023-08-10,AR,0.841,0.52,172798,0.738,0.0,7,0.0892,-7.455,0,0.307,169.918,4,0.484
1132,USA,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,For All The Dogs,88,2023-10-06,AR,0.645,0.0377,319192,0.729,0.0,2,0.384,-4.56,1,0.0528,146.01,4,0.142
1148,USA,Romantic Homicide,d4vd,Romantic Homicide,91,2022-07-20,AR,0.571,0.453,132631,0.544,0.00805,6,0.322,-10.613,1,0.0299,132.052,4,0.216
1112,USA,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),90,2023-10-26,AR,0.626,0.0656,279833,0.547,1.67e-05,4,0.149,-8.285,1,0.0342,109.946,4,0.192
1134,USA,See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,92,2017-07-21,AR,0.558,0.371,180387,0.559,7.49e-06,6,0.109,-9.222,1,0.0959,78.558,4,0.62
1140,USA,Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,82,2023-11-03,AR,0.79,0.312,183551,0.831,0.0,11,0.0797,-4.185,1,0.044,124.987,4,0.872
1121,USA,Snooze,SZA,SOS,92,2022-12-09,AR,0.559,0.141,201800,0.551,0.0,5,0.11,-7.231,1,0.132,143.008,4,0.392
1115,USA,Something in the Orange,Zach Bryan,Something in the Orange,90,2022-04-22,AR,0.369,0.555,228013,0.192,8.35e-06,4,0.0954,-12.151,0,0.04,175.212,3,0.148
1116,USA,Standing Next to You,Jung Kook,GOLDEN,91,2023-11-03,AR,0.711,0.0447,206020,0.809,0.0,2,0.339,-4.389,0,0.0955,106.017,4,0.816
1106,USA,Stick Season,Noah Kahan,Stick Season,89,2022-10-14,AR,0.662,0.782,182347,0.488,0.0,9,0.102,-6.894,1,0.0682,117.913,4,0.817
1125,USA,Strangers,Kenya Grace,Strangers,98,2023-09-01,AR,0.628,0.701,172965,0.523,0.00274,11,0.219,-8.307,0,0.0946,169.982,4,0.416
1133,USA,Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version),90,2023-10-26,AR,0.575,0.000418,231000,0.824,0.0214,2,0.0901,-4.823,1,0.038,94.971,4,0.292
1120,USA,Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),88,2023-10-26,AR,0.699,0.198,171819,0.621,0.0,0,0.104,-8.739,1,0.0369,118.048,4,0.344
1137,USA,Sweater Weather,The Neighbourhood,I Love You.,93,2013-04-19,AR,0.612,0.0495,240400,0.807,0.0177,10,0.101,-2.81,1,0.0336,124.053,4,0.398
1129,USA,Thinkin’ Bout Me,Morgan Wallen,One Thing At A Time,86,2023-03-03,AR,0.656,0.492,177388,0.757,0.0,3,0.117,-5.775,0,0.0308,139.971,4,0.429
1128,USA,Water,Tyla,Water,95,2023-07-28,AR,0.673,0.0856,200256,0.722,0.0,3,0.137,-3.495,0,0.0755,117.187,4,0.519
1131,USA,White Christmas - 1947 Version,Bing Crosby,Holiday Inn (Original Motion Picture Soundtrack),74,1942-01-01,AR,0.317,0.673,177480,0.158,0.353,9,0.338,-16.485,1,0.0381,130.503,3,0.247
1136,USA,Wildest Dreams (Taylor's Version),Taylor Swift,1989 (Taylor's Version),86,2023-10-26,AR,0.581,0.0411,220433,0.672,9.35e-05,8,0.118,-7.415,1,0.0739,140.061,4,0.514
1146,USA,You Proof,Morgan Wallen,One Thing At A Time,85,2023-03-03,AR,0.732,0.265,157478,0.839,0.0,9,0.602,-5.007,1,0.0345,119.724,4,0.629
1142,USA,bad idea right?,Olivia Rodrigo,GUTS,92,2023-09-08,AR,0.627,0.00193,184784,0.879,6.87e-06,9,0.0647,-3.446,1,0.0955,129.979,4,0.748
1113,USA,fukumean,Gunna,a Gift & a Curse,95,2023-06-16,AR,0.847,0.119,125040,0.622,0.0,1,0.285,-6.747,0,0.0903,130.001,4,0.22
1108,USA,greedy,Tate McRae,greedy,100,2023-09-15,AR,0.75,0.256,131872,0.733,0.0,6,0.114,-3.18,0,0.0319,111.018,1,0.844
1124,USA,vampire,Olivia Rodrigo,GUTS,95,2023-09-08,AR,0.511,0.177,219724,0.532,0.0,5,0.291,-5.745,1,0.0578,138.005,4,0.35
